"Share of seats in parliament (% held by women)"
"145","Myanmar","..","","..","","..","","..","","4.0","","2.9","","4.6","","4.6","","4.3","","13.0","","10.0","","10.2","","10.2",""
"130","Namibia","17.3"," b","17.3","","20.4","","26.9","","25.0","","25.0","","25.0","","25.0","","..","","37.7","","36.3","","36.3","","39.7",""
"..","Nauru","..","","..","","..","","0.1","","0.1","","0.1","","0.1","","5.3","","5.3","","5.3","","5.3","","10.5","","10.5",""
"147","Nepal","4.5"," b","4.5","","7.9","","6.4","","33.2","","33.2","","33.2","","..","","29.5","","29.5","","29.6","","29.6","","33.5",""
"10","Netherlands","28.4"," b","28.4","","32.9","","34.2","","38.7","","39.1","","37.8","","37.8","","37.8","","36.4","","36.4","","35.6","","35.6",""
"14","New Zealand","29.2"," b","29.2","","30.8","","32.2","","33.6","","32.2","","32.2","","32.2","","29.8","","31.4","","31.4","","38.3","","38.3",""
"126","Nicaragua","10.8"," b","10.8","","9.7","","20.7","","20.7","","40.2","","40.2","","40.2","","42.4","","41.3","","45.7","","45.7","","45.7",""
"189","Niger","1.2"," b","1.2","","1.2","","12.4","","..","","13.3","","13.3","","13.3","","13.3","","13.3","","14.6","","17.0","","17.0",""
"158","Nigeria","..","","..","","3.3","","5.8","","7.3","","6.7","","6.6","","6.6","","6.6","","5.8","","5.8","","5.8","","5.8",""
"82","North Macedonia","3.3"," b","3.3","","6.7","","19.2","","32.5","","30.9","","32.5","","34.1","","33.3","","33.3","","33.3","","37.5","","38.3",""
"1","Norway","36.4"," b","36.4","","36.4","","37.9","","39.6","","39.6","","39.6","","39.6","","39.6","","39.6","","39.6","","41.4","","41.4",""
"47","Oman","..","","..","","..","","7.8","","9.0","","9.6","","9.6","","9.6","","9.6","","8.2","","8.8","","8.8","","8.8",""
"152","Pakistan","2.6"," b","2.6","","..","","20.6","","21.0","","21.3","","21.1","","19.7","","19.7","","20.0","","20.0","","20.0","","20.0",""
"55","Palau","3.3"," b","3.3","","3.3","","0.1","","6.9","","6.9","","10.3","","10.3","","10.3","","10.3","","13.8","","13.8","","13.8",""
"67","Panama","9.7"," b","9.7","","9.9","","16.7","","8.5","","8.5","","8.5","","8.5","","19.3","","18.3","","18.3","","18.3","","18.3",""
"155","Papua New Guinea","1.8"," b","1.8","","1.8","","0.9","","0.9","","0.9","","2.7","","2.7","","2.7","","2.7","","2.7","","0.1","","0.1"," e"
"98","Paraguay","5.6"," b","5.6","","8.0","","9.6","","13.6","","13.6","","13.6","","18.4","","16.8","","16.8","","16.8","","16.0","","16.0",""
"82","Peru","10.8"," b","10.8","","..","","18.3","","27.5","","21.5","","21.5","","21.5","","22.3","","22.3","","27.7","","27.7","","27.7",""
"106","Philippines","11.6"," b","11.6","","11.8","","15.4","","21.5","","22.1","","22.1","","27.2","","27.2","","27.1","","29.4","","29.1","","29.1",""
"32","Poland","12.7"," b","12.7","","12.7","","19.1","","17.9","","21.8","","21.8","","21.8","","22.3","","24.8","","24.8","","25.5","","25.5",""
"40","Portugal","13.0"," b","13.0","","17.4","","21.3","","27.4","","28.7","","28.7","","31.3","","31.3","","34.8","","34.8","","34.8","","34.8",""
"41","Qatar","..","","..","","..","","..","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","9.8","","9.8",""
"52","Romania","5.6"," b","5.6","","..","","10.7","","9.8","","9.7","","11.6","","11.6","","11.7","","12.0","","12.0","","18.7","","18.7",""
