"","year","gdi","countrycode","scenario"
"449",2005,0.933,"GEO","Observed"
"450",2005,0.959,"DEU","Observed"
"451",2005,0.864,"GHA","Observed"
"452",2005,0.961,"GRC","Observed"
"453",2005,0.907,"GTM","Observed"
"454",2005,0.774,"GIN","Observed"
"455",2005,0.934,"GUY","Observed"
"457",2005,0.95,"HND","Observed"
"459",2005,0.996,"HUN","Observed"
"460",2005,0.984,"ISL","Observed"
"461",2005,0.774,"IND","Observed"
"462",2005,0.907,"IDN","Observed"
"463",2005,0.846,"IRN","Observed"
"464",2005,0.77,"IRQ","Observed"
"465",2005,0.976,"IRL","Observed"
"466",2005,0.977,"ISR","Observed"
"467",2005,0.961,"ITA","Observed"
"468",2005,0.986,"JAM","Observed"
"469",2005,0.963,"JPN","Observed"
"470",2005,0.83,"JOR","Observed"
"471",2005,1.02,"KAZ","Observed"
"472",2005,0.886,"KEN","Observed"
"473",2005,0.93,"KOR","Observed"
"474",2005,0.999,"KWT","Observed"
"475",2005,0.962,"KGZ","Observed"
"476",2005,0.867,"LAO","Observed"
"477",2005,1.035,"LVA","Observed"
"478",2005,0.869,"LBN","Observed"
"479",2005,0.956,"LSO","Observed"
"480",2005,0.768,"LBR","Observed"
"481",2005,0.917,"LBY","Observed"
"482",2005,1.028,"LTU","Observed"
"483",2005,0.978,"LUX","Observed"
"485",2005,0.868,"MWI","Observed"
"486",2005,0.935,"MYS","Observed"
"487",2005,0.925,"MDV","Observed"
"488",2005,0.751,"MLI","Observed"
"489",2005,0.913,"MLT","Observed"
"490",2005,0.81,"MRT","Observed"
"491",2005,0.928,"MUS","Observed"
"492",2005,0.937,"MEX","Observed"
"493",2005,0.992,"MDA","Observed"
"494",2005,1.017,"MNG","Observed"
"495",2005,0.944,"MNE","Observed"
"496",2005,0.806,"MAR","Observed"
"497",2005,0.859,"MOZ","Observed"
"499",2005,0.951,"NAM","Observed"
"500",2005,0.832,"NPL","Observed"
"501",2005,0.962,"NLD","Observed"
"502",2005,0.965,"NZL","Observed"
"503",2005,0.938,"NIC","Observed"
"504",2005,0.73,"NER","Observed"
"505",2005,0.836,"NGA","Observed"
"506",2005,0.989,"NOR","Observed"
"507",2005,0.879,"OMN","Observed"
"508",2005,0.675,"PAK","Observed"
"509",2005,0.818,"PSE","Observed"
"510",2005,0.985,"PAN","Observed"
"512",2005,0.928,"PRY","Observed"
"513",2005,0.935,"PER","Observed"
"514",2005,0.985,"PHL","Observed"
"515",2005,0.994,"POL","Observed"
"516",2005,0.994,"PRT","Observed"
"517",2005,0.973,"QAT","Observed"
"518",2005,0.978,"ROU","Observed"
"519",2005,1.04,"RUS","Observed"
"520",2005,0.922,"RWA","Observed"
"521",2005,0.987,"LCA","Observed"
"522",2005,0.852,"STP","Observed"
"523",2005,0.88,"SAU","Observed"
"524",2005,0.81,"SEN","Observed"
"525",2005,0.952,"SRB","Observed"
"526",2005,0.818,"SLE","Observed"
"527",2005,0.948,"SGP","Observed"
"528",2005,0.988,"SVK","Observed"
"529",2005,1.006,"SVN","Observed"
"530",2005,0.961,"ZAF","Observed"
"532",2005,0.974,"ESP","Observed"
"533",2005,0.928,"LKA","Observed"
"534",2005,0.786,"SDN","Observed"
"535",2005,0.966,"SUR","Observed"
"536",2005,0.996,"SWE","Observed"
"537",2005,0.985,"CHE","Observed"
"538",2005,0.803,"SYR","Observed"
"539",2005,0.888,"TJK","Observed"
"540",2005,0.901,"TZA","Observed"
"541",2005,0.971,"THA","Observed"
"542",2005,0.795,"MKD","Observed"
"543",2005,0.82,"TLS","Observed"
"544",2005,0.795,"TGO","Observed"
"545",2005,0.938,"TON","Observed"
"546",2005,0.983,"TTO","Observed"
"547",2005,0.868,"TUN","Observed"
"548",2005,0.853,"TUR","Observed"
"549",2005,0.872,"UGA","Observed"
"550",2005,1,"UKR","Observed"
"552",2005,0.981,"GBR","Observed"
"553",2005,0.991,"USA","Observed"
"554",2005,1.003,"URY","Observed"
"556",2005,0.994,"VEN","Observed"
"557",2005,0.985,"VNM","Observed"
"558",2005,0.656,"YEM","Observed"
"560",2005,0.884,"ZWE","Observed"
"589",2010,0.566,"AFG","Observed"
"590",2010,0.958,"ALB","Observed"
"591",2010,0.835,"DZA","Observed"
"592",2010,0.995,"ARG","Observed"
"593",2010,0.958,"ARM","Observed"
"594",2010,0.97,"AUS","Observed"
"595",2010,0.969,"AUT","Observed"
"596",2010,0.954,"AZE","Observed"
"598",2010,0.973,"BHR","Observed"
"599",2010,0.843,"BGD","Observed"
"600",2010,1.015,"BRB","Observed"
"601",2010,1.028,"BLR","Observed"
"602",2010,0.97,"BEL","Observed"
"603",2010,0.957,"BLZ","Observed"
"604",2010,0.832,"BEN","Observed"
"605",2010,0.9,"BTN","Observed"
"606",2010,0.917,"BOL","Observed"
"607",2010,0.928,"BIH","Observed"
"608",2010,0.975,"BWA","Observed"
"609",2010,1.001,"BRA","Observed"
"610",2010,0.978,"BRN","Observed"
"611",2010,0.991,"BGR","Observed"
"612",2010,0.829,"BFA","Observed"
"613",2010,0.907,"BDI","Observed"
"615",2010,0.901,"KHM","Observed"
"616",2010,0.852,"CMR","Observed"
"617",2010,0.982,"CAN","Observed"
"618",2010,0.751,"CAF","Observed"
"619",2010,0.755,"TCD","Observed"
"620",2010,0.956,"CHL","Observed"
"621",2010,0.939,"CHN","Observed"
"622",2010,0.993,"COL","Observed"
"623",2010,0.862,"COM","Observed"
"624",2010,0.913,"COG","Observed"
"625",2010,0.803,"COD","Observed"
"626",2010,0.965,"CRI","Observed"
"627",2010,0.988,"HRV","Observed"
"628",2010,0.965,"CUB","Observed"
"629",2010,0.962,"CYP","Observed"
"630",2010,0.974,"CZE","Observed"
"631",2010,0.745,"CIV","Observed"
"632",2010,0.991,"DNK","Observed"
"633",2010,0.985,"DOM","Observed"
"635",2010,0.843,"EGY","Observed"
"636",2010,0.971,"SLV","Observed"
"637",2010,1.028,"EST","Observed"
"638",2010,0.92,"SWZ","Observed"
"639",2010,0.822,"ETH","Observed"
"641",2010,1.006,"FIN","Observed"
"642",2010,0.99,"FRA","Observed"
"643",2010,0.909,"GAB","Observed"
"644",2010,0.808,"GMB","Observed"
"645",2010,0.957,"GEO","Observed"
"646",2010,0.964,"DEU","Observed"
"647",2010,0.886,"GHA","Observed"
"648",2010,0.963,"GRC","Observed"
"649",2010,0.912,"GTM","Observed"
"650",2010,0.803,"GIN","Observed"
"651",2010,0.951,"GUY","Observed"
"653",2010,0.972,"HND","Observed"
"654",2010,0.966,"HKG","Observed"
"655",2010,0.993,"HUN","Observed"
"656",2010,0.983,"ISL","Observed"
"657",2010,0.794,"IND","Observed"
"658",2010,0.924,"IDN","Observed"
"659",2010,0.872,"IRN","Observed"
"660",2010,0.81,"IRQ","Observed"
"661",2010,0.976,"IRL","Observed"
"662",2010,0.969,"ISR","Observed"
"663",2010,0.97,"ITA","Observed"
"664",2010,0.983,"JAM","Observed"
"665",2010,0.959,"JPN","Observed"
"666",2010,0.851,"JOR","Observed"
"667",2010,1.008,"KAZ","Observed"
"668",2010,0.951,"KEN","Observed"
"669",2010,0.926,"KOR","Observed"
"670",2010,0.985,"KWT","Observed"
"671",2010,0.959,"KGZ","Observed"
"672",2010,0.902,"LAO","Observed"
"673",2010,1.038,"LVA","Observed"
"674",2010,0.89,"LBN","Observed"
"675",2010,0.998,"LSO","Observed"
"676",2010,0.853,"LBR","Observed"
"677",2010,0.951,"LBY","Observed"
"678",2010,1.039,"LTU","Observed"
"679",2010,0.973,"LUX","Observed"
"680",2010,0.939,"MDG","Observed"
"681",2010,0.904,"MWI","Observed"
"682",2010,0.958,"MYS","Observed"
"683",2010,0.933,"MDV","Observed"
"684",2010,0.798,"MLI","Observed"
"685",2010,0.923,"MLT","Observed"
"686",2010,0.825,"MRT","Observed"
"687",2010,0.941,"MUS","Observed"
"688",2010,0.948,"MEX","Observed"
"689",2010,1.008,"MDA","Observed"
"690",2010,1.021,"MNG","Observed"
"691",2010,0.954,"MNE","Observed"
"692",2010,0.823,"MAR","Observed"
"693",2010,0.889,"MOZ","Observed"
"695",2010,0.976,"NAM","Observed"
"696",2010,0.885,"NPL","Observed"
"697",2010,0.965,"NLD","Observed"
"698",2010,0.963,"NZL","Observed"
"699",2010,0.939,"NIC","Observed"
"701",2010,0.867,"NGA","Observed"
"702",2010,0.996,"NOR","Observed"
"703",2010,0.909,"OMN","Observed"
"704",2010,0.72,"PAK","Observed"
"705",2010,0.839,"PSE","Observed"
